time,trueDist,trueAngle,estimatedDist,estimatedAngleDg
2.34397E+12,3,-40,3.433,-36.44011577
2.3444E+12,3,-40,3.452,-39.59138364
2.34486E+12,3,-40,3.433,-45.09177848
2.34526E+12,3,-40,3.442,-44.4615249
2.34569E+12,3,-40,3.442,-37.35684824
2.34612E+12,3,-40,3.452,-39.64867942
2.34654E+12,3,-40,3.442,-42.97183463
2.34783E+12,3,-40,3.452,-44.91989114
2.34826E+12,3,-40,3.414,-43.77397555
2.34869E+12,3,-40,3.442,-42.39887684
2.34912E+12,3,-40,3.433,-39.59138364
2.34955E+12,3,-40,3.433,-35.8098622
2.35009E+12,3,-40,3.433,-40.33622878
2.35044E+12,3,-40,3.395,-39.64867942
2.35084E+12,3,-40,3.452,-42.62805996
2.35127E+12,3,-40,3.442,-36.09634109
2.3517E+12,3,-40,3.442,-41.53944015
2.35213E+12,3,-40,3.414,-36.38281999
2.35312E+12,3,-40,3.423,-35.63797486
2.35342E+12,3,-40,3.433,-40.62270767
2.35385E+12,3,-40,3.442,-41.53944015
2.35428E+12,3,-40,3.423,-36.95577779
2.3547E+12,3,-40,3.461,-40.45082034
2.35514E+12,3,-40,3.423,-41.13836969
2.35599E+12,3,-40,3.461,-39.07572163
2.35642E+12,3,-40,3.452,-39.93515832
2.3586E+12,3,-40,3.433,-36.95577779
2.359E+12,3,-40,3.423,-36.84118623
2.35943E+12,3,-40,3.461,-41.59673593
2.35986E+12,3,-40,3.452,-41.25296125
2.36029E+12,3,-40,3.433,-42.39887684
2.36072E+12,3,-40,3.452,-43.65938399
2.36115E+12,3,-40,3.433,-36.72659467
2.36161E+12,3,-40,3.433,-38.84653851
2.36201E+12,3,-40,3.405,-45.66473627
2.36247E+12,3,-40,3.442,-48.81600415
2.36287E+12,3,-40,3.414,-39.82056676
2.36329E+12,3,-40,3.452,-46.52417296
2.36372E+12,3,-40,3.423,-39.41949631
2.36415E+12,3,-40,3.442,-41.59673593
2.36458E+12,3,-40,3.433,-29.62191801
2.36501E+12,3,-40,3.442,-44.40422912
2.36556E+12,3,-40,3.452,-41.42484859
2.3663E+12,3,-40,3.461,-42.68535574
2.36673E+12,3,-40,3.433,-37.64332714
2.36716E+12,3,-40,3.433,-41.88321482
2.36759E+12,3,-40,3.405,-38.56005961
2.36856E+12,3,-40,3.452,-39.87786254
2.36888E+12,3,-40,3.489,-48.18575057
2.36931E+12,3,-40,3.423,-39.59138364
2.36974E+12,3,-40,3.452,-42.85724308
2.37017E+12,3,-40,3.433,-42.68535574
2.3706E+12,3,-40,3.48,-35.12231284
2.37155E+12,3,-40,3.433,-39.01842585
2.37192E+12,3,-40,3.442,-46.12310251
2.37231E+12,3,-40,3.442,-47.15442654
2.37274E+12,3,-40,3.442,-45.0344827
2.37317E+12,3,-40,3.433,-39.93515832
2.3736E+12,3,-40,3.452,-41.36755281
2.37446E+12,3,-40,3.414,-43.83127133
2.37489E+12,3,-40,3.423,-40.10704566
2.37532E+12,3,-40,3.452,-34.20558037
2.37663E+12,3,-40,3.47,-48.70141259
2.37707E+12,3,-40,3.405,-41.48214437
2.3775E+12,3,-40,3.442,-38.44546805
2.3779E+12,3,-40,3.442,-38.96113007
2.37833E+12,3,-40,3.452,-45.95121517
2.37876E+12,3,-40,3.461,-45.37825737
2.37919E+12,3,-40,3.423,-37.64332714
2.37962E+12,3,-40,3.442,-40.96648235
2.38047E+12,3,-40,3.442,-39.19031319
2.3809E+12,3,-40,3.433,-43.20101775
2.38153E+12,3,-40,3.395,-37.07036934
2.38219E+12,3,-40,3.442,-35.69527064
2.38262E+12,3,-40,3.433,-44.06045445
2.38305E+12,3,-40,3.433,-43.60208821
2.38453E+12,3,-40,3.433,-37.4714398
2.3848E+12,3,-40,3.452,-37.07036934
2.3852E+12,3,-40,3.433,-48.12845479
2.38563E+12,3,-40,3.423,-39.93515832
2.38609E+12,3,-40,3.395,-42.28428528
2.38649E+12,3,-40,3.433,-40.5654119
2.38692E+12,3,-40,3.433,-41.02377813
2.38735E+12,3,-40,3.414,-42.62805996
